Date,Primary Type,Location Description,Arrest,District,Ward,Updated On
1/1/19 0:01,OTHER OFFENSE,APARTMENT,FALSE,9,16,2/22/19 15:56
1/1/19 0:01,OTHER OFFENSE,RESIDENCE,FALSE,3,7,3/2/19 16:02
1/1/19 0:01,DECEPTIVE PRACTICE,OTHER,FALSE,3,5,3/8/19 16:21
1/1/19 0:01,DECEPTIVE PRACTICE,APARTMENT,FALSE,12,26,3/28/19 15:59
1/1/19 0:01,THEFT,RESIDENCE,FALSE,7,16,4/10/19 16:05
1/1/19 0:01,DECEPTIVE PRACTICE,APARTMENT,FALSE,8,13,4/17/19 16:13
1/1/19 0:01,DECEPTIVE PRACTICE,RESIDENCE,FALSE,8,23,4/27/19 15:59
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,6,17,5/12/19 15:57
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,4,10,11/10/19 15:54
1/1/19 0:01,OTHER OFFENSE,OTHER,FALSE,22,19,6/30/19 15:56
1/1/19 0:01,DECEPTIVE PRACTICE,RESIDENCE,FALSE,22,34,6/30/19 15:56
1/1/19 0:01,DECEPTIVE PRACTICE,APARTMENT,FALSE,8,22,11/19/19 15:53
1/1/19 0:01,OTHER OFFENSE,APARTMENT,FALSE,16,30,7/3/19 16:05
1/1/19 0:01,DECEPTIVE PRACTICE,RESIDENCE,FALSE,19,47,7/19/19 16:09
1/1/19 0:01,DECEPTIVE PRACTICE,OTHER,FALSE,1,4,7/19/19 16:09
1/1/19 0:01,DECEPTIVE PRACTICE,RESIDENCE,FALSE,7,16,9/6/19 16:01
1/1/19 0:01,DECEPTIVE PRACTICE,APARTMENT,FALSE,15,29,8/23/19 15:57
1/1/19 0:01,ASSAULT,STREET,FALSE,2,4,7/31/19 16:03
1/1/19 0:01,SEX OFFENSE,RESIDENCE,FALSE,25,31,8/4/19 15:59
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,STREET,FALSE,14,32,8/25/19 16:07
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,9,15,4/19/20 15:44
1/1/19 0:01,THEFT,RESIDENCE,FALSE,15,29,8/7/19 15:58
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,7,15,8/15/19 16:03
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,9,15,10/3/19 16:08
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,7,17,10/4/19 15:59
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,25,30,10/5/19 16:04
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,14,1,10/4/19 15:59
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,4,8,10/4/19 15:59
1/1/19 0:01,THEFT,OTHER,FALSE,11,26,10/16/19 16:05
1/1/19 0:01,CRIM SEXUAL ASSAULT,RESIDENCE,FALSE,25,36,10/20/19 15:56
1/1/19 0:01,DECEPTIVE PRACTICE,RESIDENCE,FALSE,18,42,1/9/20 15:55
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,7,16,8/5/20 15:51
1/1/19 0:01,SEX OFFENSE,SCHOOL - PUBLIC GROUNDS,TRUE,12,25,6/13/20 15:45
1/1/19 0:01,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,16,36,6/15/20 15:50
1/1/19 0:01,SEX OFFENSE,APARTMENT,FALSE,8,16,3/18/20 15:52
1/1/19 0:01,DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,FALSE,12,27,3/1/20 15:49
1/1/19 0:01,BATTERY,RESIDENCE,FALSE,7,15,10/3/20 15:47
1/1/19 0:01,BATTERY,OTHER (SPECIFY),FALSE,11,28,3/19/20 15:44
1/1/19 0:01,CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC BUILDING,FALSE,2,5,11/9/20 15:52
1/1/19 0:01,CRIMINAL SEXUAL ASSAULT,RESIDENCE,FALSE,8,18,12/6/20 15:49
1/1/19 0:01,DECEPTIVE PRACTICE,RESIDENCE,FALSE,24,50,12/9/20 15:47
1/1/19 0:01,OTHER OFFENSE,RESIDENCE,FALSE,7,20,2/23/19 16:05
1/1/19 0:01,DECEPTIVE PRACTICE,OTHER,FALSE,14,32,4/26/19 16:03
1/1/19 0:01,CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),FALSE,3,6,5/22/19 16:04
1/1/19 0:01,CRIMINAL SEXUAL ASSAULT,RESIDENCE,TRUE,5,34,6/12/21 16:53
1/1/19 0:01,BATTERY,RESIDENCE,FALSE,25,35,6/25/21 17:13
1/1/19 0:01,DECEPTIVE PRACTICE,APARTMENT,FALSE,2,4,7/23/21 17:04
1/1/19 0:02,CRIMINAL DAMAGE,RESIDENCE,FALSE,10,12,1/10/19 15:16
1/1/19 0:02,WEAPONS VIOLATION,STREET,TRUE,3,20,1/10/19 15:16
1/1/19 0:02,CRIMINAL DAMAGE,RESIDENCE,FALSE,4,8,1/10/19 15:16
1/1/19 0:03,BATTERY,HOTEL/MOTEL,FALSE,18,42,1/10/19 15:16
1/1/19 0:03,WEAPONS VIOLATION,RESIDENTIAL YARD (FRONT/BACK),TRUE,25,29,1/10/19 15:16
1/1/19 0:05,CRIMINAL DAMAGE,RESIDENCE,FALSE,6,6,1/10/19 15:16
1/1/19 0:05,BATTERY,APARTMENT,FALSE,10,24,1/10/19 15:16
1/1/19 0:05,THEFT,RESIDENCE,FALSE,6,6,1/23/19 16:13
1/1/19 0:08,WEAPONS VIOLATION,ALLEY,FALSE,12,25,1/10/19 15:16
1/1/19 0:08,NARCOTICS,SIDEWALK,TRUE,12,25,1/10/19 15:16
1/1/19 0:10,CRIMINAL DAMAGE,RESIDENCE,FALSE,4,8,1/10/19 15:16
1/1/19 0:10,CRIMINAL DAMAGE,RESIDENCE,FALSE,9,11,1/10/19 15:16
1/1/19 0:11,ASSAULT,STREET,FALSE,15,37,1/10/19 15:16
1/1/19 0:11,CRIMINAL TRESPASS,SIDEWALK,TRUE,12,25,1/10/19 15:16
1/1/19 0:14,WEAPONS VIOLATION,ALLEY,TRUE,7,16,1/10/19 15:16
1/1/19 0:14,BATTERY,RESIDENCE,FALSE,7,20,1/10/19 15:16
1/1/19 0:15,BATTERY,HOTEL/MOTEL,TRUE,1,42,1/10/19 15:16
1/1/19 0:15,CRIMINAL DAMAGE,STREET,FALSE,11,24,1/10/19 15:16
1/1/19 0:15,CRIMINAL DAMAGE,RESIDENCE,FALSE,15,29,1/10/19 15:16
1/1/19 0:15,MOTOR VEHICLE THEFT,STREET,FALSE,1,4,1/10/19 15:16
1/1/19 0:20,ASSAULT,RESIDENCE,TRUE,8,17,1/10/19 15:16
1/1/19 0:20,WEAPONS VIOLATION,RESIDENCE,TRUE,6,21,1/10/19 15:16
1/1/19 0:20,CRIMINAL DAMAGE,RESIDENCE,FALSE,4,7,1/10/19 15:16
1/1/19 0:25,WEAPONS VIOLATION,ALLEY,FALSE,7,16,1/10/19 15:16
1/1/19 0:25,BATTERY,OTHER,FALSE,19,44,1/10/19 15:16
1/1/19 0:26,CRIMINAL DAMAGE,SIDEWALK,FALSE,18,42,1/10/19 15:16
1/1/19 0:28,PUBLIC PEACE VIOLATION,BAR OR TAVERN,TRUE,25,31,1/10/19 15:16
1/1/19 0:29,BATTERY,STREET,TRUE,24,49,1/10/19 15:16
1/1/19 0:30,CRIMINAL DAMAGE,APARTMENT,FALSE,3,8,1/10/19 15:16
1/1/19 0:30,CRIMINAL DAMAGE,RESIDENCE,FALSE,25,26,1/10/19 15:16
1/1/19 0:30,BATTERY,APARTMENT,FALSE,18,42,1/10/19 15:16
1/1/19 0:30,MOTOR VEHICLE THEFT,STREET,FALSE,4,7,1/10/19 15:16
1/1/19 0:30,CRIMINAL DAMAGE,STREET,FALSE,5,8,1/10/19 15:16
1/1/19 0:30,CRIMINAL DAMAGE,RESIDENCE,FALSE,4,5,1/10/19 15:16
1/1/19 0:30,OTHER OFFENSE,RESIDENCE,FALSE,22,34,1/10/19 15:16
1/1/19 0:30,CRIMINAL DAMAGE,APARTMENT,FALSE,25,37,1/10/19 15:16
1/1/19 0:30,BATTERY,OTHER,FALSE,20,46,1/10/19 15:16
1/1/19 0:30,OTHER OFFENSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,8,13,4/7/19 15:58
1/1/19 0:31,CRIMINAL DAMAGE,RESTAURANT,FALSE,17,33,1/10/19 15:16
1/1/19 0:35,WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,FALSE,4,8,1/10/19 15:16
1/1/19 0:36,BATTERY,APARTMENT,TRUE,11,28,1/10/19 15:16
1/1/19 0:42,CRIMINAL DAMAGE,STREET,FALSE,14,26,1/10/19 15:16
1/1/19 0:44,WEAPONS VIOLATION,ALLEY,TRUE,10,22,1/10/19 15:16
1/1/19 0:45,WEAPONS VIOLATION,SIDEWALK,TRUE,11,27,1/10/19 15:16
1/1/19 0:45,BATTERY,APARTMENT,FALSE,11,24,1/10/19 15:16
1/1/19 0:45,CRIMINAL DAMAGE,STREET,FALSE,14,1,1/10/19 15:16
1/1/19 0:45,CRIM SEXUAL ASSAULT,RESIDENCE,FALSE,7,17,1/10/19 15:16
1/1/19 0:45,ROBBERY,SIDEWALK,FALSE,4,8,1/10/19 15:16
1/1/19 0:48,BURGLARY,CONVENIENCE STORE,TRUE,7,17,3/15/19 16:13
1/1/19 0:49,BATTERY,RESIDENTIAL YARD (FRONT/BACK),FALSE,17,39,1/10/19 15:16
1/1/19 0:50,BURGLARY,RESTAURANT,FALSE,14,26,1/10/19 15:16
1/1/19 0:50,BATTERY,HOTEL/MOTEL,FALSE,1,42,1/10/19 15:16
1/1/19 0:52,BATTERY,APARTMENT,FALSE,11,28,1/10/19 15:16
1/1/19 0:52,BATTERY,RESIDENCE,FALSE,6,8,1/10/19 15:16
1/1/19 0:53,BATTERY,GAS STATION,TRUE,1,4,3/4/19 15:56
1/1/19 0:53,BATTERY,APARTMENT,TRUE,11,28,1/10/19 15:16
1/1/19 0:57,PUBLIC PEACE VIOLATION,RESIDENCE PORCH/HALLWAY,TRUE,17,45,1/10/19 15:16
1/1/19 0:59,CRIMINAL TRESPASS,BAR OR TAVERN,FALSE,19,44,1/10/19 15:16
1/1/19 1:00,THEFT,HOTEL/MOTEL,FALSE,18,42,2/2/19 16:01
1/1/19 1:00,CRIMINAL DAMAGE,APARTMENT,FALSE,15,29,1/10/19 15:16
1/1/19 1:00,THEFT,RESTAURANT,FALSE,19,44,1/10/19 15:16
1/1/19 1:00,THEFT,APARTMENT,FALSE,19,46,1/10/19 15:16
1/1/19 1:00,BATTERY,SIDEWALK,TRUE,18,2,3/28/19 15:59
1/1/19 1:00,THEFT,BAR OR TAVERN,FALSE,18,43,2/2/19 16:01
1/1/19 1:00,THEFT,APARTMENT,FALSE,14,32,1/10/19 15:16
1/1/19 1:00,THEFT,RESTAURANT,FALSE,18,42,1/17/19 14:26
1/1/19 1:00,CRIM SEXUAL ASSAULT,RESIDENCE,FALSE,18,42,1/25/19 16:05
1/1/19 1:02,BATTERY,RESIDENCE,FALSE,11,27,1/10/19 15:16
1/1/19 1:03,WEAPONS VIOLATION,STREET,TRUE,4,7,1/10/19 15:16
1/1/19 1:05,CRIMINAL DAMAGE,STREET,FALSE,8,18,1/10/19 15:16
1/1/19 1:13,BATTERY,RESIDENCE,FALSE,7,20,1/30/19 16:08
1/1/19 1:14,BATTERY,RESIDENTIAL YARD (FRONT/BACK),TRUE,25,37,2/4/19 16:16
1/1/19 1:14,BATTERY,APARTMENT,TRUE,25,37,1/17/19 14:26
1/1/19 1:16,DECEPTIVE PRACTICE,OTHER,TRUE,5,9,1/23/19 11:23
1/1/19 1:20,WEAPONS VIOLATION,STREET,TRUE,9,15,1/10/19 15:16
1/1/19 1:20,LIQUOR LAW VIOLATION,RESTAURANT,TRUE,18,42,1/10/19 15:16
1/1/19 1:20,BATTERY,RESIDENTIAL YARD (FRONT/BACK),TRUE,16,30,1/10/19 15:16
1/1/19 1:20,THEFT,SMALL RETAIL STORE,FALSE,2,4,1/10/19 15:16
1/1/19 1:20,BURGLARY,RESIDENCE,FALSE,3,8,1/10/19 15:16
1/1/19 1:20,OTHER OFFENSE,RESIDENCE,FALSE,17,35,1/10/19 15:16
1/1/19 1:22,ASSAULT,SIDEWALK,TRUE,6,8,2/2/19 16:01
1/1/19 1:25,BATTERY,STREET,FALSE,11,28,1/10/19 15:16
1/1/19 1:26,CRIMINAL DAMAGE,STREET,FALSE,11,27,1/10/19 15:16
1/1/19 1:29,BATTERY,SIDEWALK,FALSE,18,42,1/10/19 15:16
1/1/19 1:30,SEX OFFENSE,RESIDENCE,FALSE,24,49,2/20/19 16:32
1/1/19 1:30,ASSAULT,RESIDENCE,TRUE,5,34,1/10/19 15:16
1/1/19 1:30,THEFT,HOTEL/MOTEL,FALSE,1,42,1/10/19 15:16
1/1/19 1:30,BATTERY,HOTEL/MOTEL,FALSE,1,4,1/10/19 15:16
1/1/19 1:30,BATTERY,STREET,FALSE,1,25,1/10/19 15:16
1/1/19 1:36,WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,TRUE,7,6,1/10/19 15:16
1/1/19 1:37,BATTERY,RESIDENCE,FALSE,8,18,1/10/19 15:16
1/1/19 1:40,BATTERY,RESIDENCE,FALSE,11,24,1/10/19 15:16
1/1/19 1:40,BATTERY,BAR OR TAVERN,FALSE,18,42,1/10/19 15:16
1/1/19 1:43,BURGLARY,RESTAURANT,FALSE,1,42,1/10/19 15:16
1/1/19 1:45,CRIMINAL DAMAGE,RESIDENCE,FALSE,25,26,1/10/19 15:16
1/1/19 1:45,ROBBERY,SIDEWALK,FALSE,2,5,1/10/19 15:16
1/1/19 1:45,BATTERY,OTHER,TRUE,18,42,1/17/19 14:26
1/1/19 1:45,BATTERY,APARTMENT,FALSE,17,33,1/10/19 15:16
1/1/19 1:48,BATTERY,APARTMENT,TRUE,8,14,1/10/19 15:16
1/1/19 1:50,CRIMINAL DAMAGE,APARTMENT,FALSE,11,37,1/10/19 15:16
1/1/19 1:50,BATTERY,SIDEWALK,FALSE,1,4,1/10/19 15:16
1/1/19 1:55,BATTERY,APARTMENT,FALSE,17,33,1/10/19 15:16
1/1/19 1:59,NARCOTICS,STREET,TRUE,17,33,1/10/19 15:16
1/1/19 2:00,ROBBERY,CTA BUS STOP,FALSE,7,20,1/10/19 15:16
1/1/19 2:00,BATTERY,RESIDENCE,FALSE,25,37,1/10/19 15:16
1/1/19 2:00,MOTOR VEHICLE THEFT,STREET,FALSE,8,23,1/10/19 15:16
1/1/19 2:00,BURGLARY,RESIDENCE,FALSE,8,13,1/10/19 15:16
1/1/19 2:00,ASSAULT,RESIDENCE,FALSE,9,15,1/10/19 15:16
1/1/19 2:00,THEFT,BAR OR TAVERN,FALSE,18,42,1/10/19 15:16
1/1/19 2:00,ASSAULT,RESIDENCE,FALSE,11,28,1/10/19 15:16
1/1/19 2:00,CRIMINAL DAMAGE,STREET,FALSE,11,28,1/10/19 15:16
1/1/19 2:00,BATTERY,SIDEWALK,TRUE,1,42,1/10/19 15:16
1/1/19 2:00,BATTERY,APARTMENT,FALSE,3,5,1/10/19 15:16
1/1/19 2:00,THEFT,STREET,FALSE,8,18,1/10/19 15:16
1/1/19 2:00,BATTERY,BAR OR TAVERN,FALSE,18,2,1/10/19 15:16
1/1/19 2:00,CRIMINAL DAMAGE,APARTMENT,FALSE,17,33,1/10/19 15:16
1/1/19 2:00,THEFT,STREET,FALSE,15,29,1/10/19 15:16
1/1/19 2:00,BATTERY,ALLEY,FALSE,25,36,1/10/19 15:16
1/1/19 2:00,DECEPTIVE PRACTICE,RESTAURANT,FALSE,18,42,1/10/19 15:16
1/1/19 2:00,CRIMINAL DAMAGE,RESIDENCE,FALSE,12,25,1/10/19 15:16
1/1/19 2:00,CRIMINAL DAMAGE,OTHER,FALSE,3,5,1/10/19 15:16
1/1/19 2:00,THEFT,OTHER,FALSE,18,42,1/10/19 15:16
1/1/19 2:00,DECEPTIVE PRACTICE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",FALSE,19,44,1/10/19 15:16
